policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,total_incurred,claim_propensity,broker_id
POL1630,83,TRUE,6,CLM1630,"Morton, Reyes and Allen",2023-11-13,2024-07-13,2024-07-14,Pending,Water Damage,37588.81,47374.34,0.65,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1631,34,TRUE,5,CLM1631,Garcia-White,2020-04-17,2021-01-25,2021-02-02,Pending,Property Damage,28172.46,34098,0.19,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1632,50,TRUE,6,CLM1632,Horne Inc,2023-04-16,2023-06-07,2023-06-26,Open,Liability,29662.96,34550.68,0.35,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1633,51,FALSE,7,,Fox-Martinez,2022-11-18,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1634,54,TRUE,6,CLM1634,Porter LLC,2022-07-06,2022-10-19,2022-11-07,Pending,Water Damage,19941.74,26003.62,0.51,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1635,27,FALSE,3,,Reynolds-Terry,2020-01-30,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1636,103,TRUE,7,CLM1636,Martin PLC,2021-12-21,2022-06-24,2022-07-05,Open,Property Damage,21112.39,43381.48,0.34,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1637,64,TRUE,6,CLM1637,Harris-Hernandez,2023-01-25,2023-06-23,2023-07-03,Pending,Property Damage,5349.52,16166.78,0.61,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1638,99,TRUE,4,CLM1638,Mccormick-Lopez,2020-12-10,2021-05-18,2021-05-27,Closed,Fire,30641.18,47206.98,0.21,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1639,75,FALSE,3,,Stephens-White,2020-06-08,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1640,116,FALSE,3,,"Butler, Stephenson and Acevedo",2020-01-02,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1641,45,TRUE,9,CLM1641,Chang and Sons,2023-02-08,2023-03-28,2023-04-27,Open,Property Damage,22367.86,36008.08,0.77,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1642,32,TRUE,4,CLM1642,"Maldonado, Mcgee and Warren",2023-06-20,2024-04-14,2024-05-13,Pending,Liability,12772.51,28460.5,0.33,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1643,82,TRUE,5,CLM1643,Lindsey-Foley,2021-06-07,2022-02-04,2022-02-23,Open,Water Damage,1414.23,9336.04,0.5,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1644,18,TRUE,7,CLM1644,"Harmon, Bowen and Tyler",2021-04-14,2021-08-22,2021-09-09,Closed,Property Damage,8895.36,29672.84,0.66,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1645,17,TRUE,7,CLM1645,Brown and Sons,2021-05-20,2021-09-29,2021-10-19,Pending,Property Damage,16504.04,33261.69,0.18,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1646,49,TRUE,2,CLM1646,Wagner-Lewis,2023-03-01,2023-09-07,2023-10-04,Open,Theft,5839.41,27674.61,0.47,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1647,38,FALSE,9,,"Fox, Garcia and Foley",2022-08-02,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1648,1,FALSE,8,,"Smith, Bryan and Miller",2023-12-14,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1649,51,TRUE,6,CLM1649,"Terrell, Reese and Cole",2020-10-08,2020-12-09,2020-12-11,Closed,Theft,15609.55,26823.2,0.71,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1650,35,TRUE,5,CLM1650,Rollins-Dudley,2020-07-03,2020-11-08,2020-11-24,Pending,Theft,24168.53,32703.41,0.11,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1651,117,FALSE,10,,"Foster, Barber and Stafford",2022-01-01,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1652,80,TRUE,4,CLM1652,Willis Ltd,2022-03-31,2022-08-19,2022-09-01,Open,Water Damage,4485,15260.53,0.75,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1653,60,TRUE,3,CLM1653,Hodge Inc,2022-07-16,2023-02-11,2023-02-18,Open,Liability,21934.18,30506.13,0.47,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1654,85,TRUE,4,CLM1654,"Lamb, Steele and Wright",2020-10-09,2021-02-05,2021-02-16,Pending,Property Damage,4246.7,28285.09,0.46,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1655,39,FALSE,4,,"Strickland, Juarez and Taylor",2023-08-16,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1656,10,TRUE,7,CLM1656,"Beard, Roberts and George",2021-03-03,2021-09-01,2021-10-01,Closed,Property Damage,9082.91,18857.37,0.87,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1657,6,TRUE,8,CLM1657,Estrada-Richardson,2020-04-25,2020-07-22,2020-07-25,Open,Theft,8870.72,22547.54,0.58,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1658,16,FALSE,5,,Shaw-Barker,2021-12-01,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1659,69,TRUE,10,CLM1659,Johnson Ltd,2020-02-27,2021-02-22,2021-03-06,Closed,Liability,38927.66,40915.9,0.92,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1660,25,TRUE,3,CLM1660,Franklin LLC,2021-12-31,2022-05-07,2022-06-06,Open,Property Damage,26899.88,43318.62,1,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1661,14,TRUE,9,CLM1661,Turner-Taylor,2023-08-14,2024-03-13,2024-03-29,Closed,Property Damage,40658.77,55584.03,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1662,119,TRUE,3,CLM1662,Pace-Haynes,2022-09-12,2023-06-04,2023-07-02,Closed,Water Damage,22114.23,32282.33,0.4,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1663,82,TRUE,3,CLM1663,Bailey-Little,2020-01-27,2020-05-24,2020-06-01,Pending,Water Damage,14460.4,28741.51,0.52,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1664,105,TRUE,6,CLM1664,Foster-Morales,2022-12-28,2023-10-22,2023-11-17,Pending,Liability,18209.55,40059.67,0.3,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1665,79,TRUE,1,CLM1665,"Evans, Briggs and Cunningham",2021-01-12,2021-08-13,2021-08-16,Pending,Fire,41884.92,59119.79,0.35,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1666,9,TRUE,10,CLM1666,Lopez and Sons,2022-04-13,2023-04-05,2023-04-12,Pending,Liability,49887.98,71133.67,0.84,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1667,41,FALSE,7,,Robertson-Hicks,2022-07-31,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1668,14,TRUE,5,CLM1668,"Holmes, Mccullough and Strickland",2022-11-25,2023-03-23,2023-04-09,Open,Fire,37348.62,40774.89,0.06,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1669,111,TRUE,8,CLM1669,"Huff, Holland and Stark",2023-12-02,2024-11-26,2024-12-11,Open,Property Damage,25382.43,40329.74,0.51,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1670,88,FALSE,9,,Hamilton-Bryant,2021-08-06,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1671,109,TRUE,6,CLM1671,"Rose, Clarke and Lee",2022-09-01,2023-05-29,2023-06-25,Closed,Property Damage,43518.67,65933.54,0.34,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1672,81,FALSE,7,,Ellis-Jones,2023-01-08,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1673,28,FALSE,3,,Harper LLC,2023-07-10,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1674,46,TRUE,6,CLM1674,Petersen and Sons,2022-06-04,2022-10-04,2022-10-16,Open,Theft,15892.65,30061.46,0.05,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1675,98,TRUE,8,CLM1675,Montgomery Ltd,2022-03-09,2023-02-14,2023-02-15,Open,Water Damage,13381.26,19139.25,0.9,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1676,106,FALSE,7,,Lynch-Adams,2022-10-24,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1677,12,TRUE,10,CLM1677,"Ewing, Smith and Lawson",2021-01-06,2021-07-07,2021-07-31,Closed,Theft,37386.67,58836.07,0.14,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1678,8,FALSE,8,,Guerra LLC,2021-12-15,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1679,15,TRUE,4,CLM1679,Long Group,2020-08-06,2020-12-19,2020-12-23,Closed,Theft,4113.24,11173.09,0.68,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1680,72,FALSE,10,,"Cox, Kelly and Perkins",2023-11-29,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1681,59,TRUE,4,CLM1681,Lyons and Sons,2021-09-06,2021-12-01,2021-12-13,Pending,Theft,36514.63,58354.28,0.63,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1682,7,FALSE,2,,Wheeler LLC,2020-01-07,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1683,107,FALSE,3,,Rodgers-Harrell,2020-04-13,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1684,114,TRUE,4,CLM1684,Gonzalez-Lopez,2021-06-07,2021-09-20,2021-10-07,Pending,Fire,11703.31,15075.06,0.68,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1685,26,TRUE,7,CLM1685,Crawford and Sons,2021-10-28,2022-01-24,2022-02-12,Pending,Theft,8549.05,15131.12,0.42,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1686,101,FALSE,9,,"Vargas, Russell and Burton",2022-12-10,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1687,87,FALSE,9,,Bullock Inc,2022-04-29,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1688,7,TRUE,6,CLM1688,Merritt-Johnson,2023-12-26,2024-12-21,2025-01-13,Pending,Theft,24056.19,46058.82,0.26,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1689,61,TRUE,9,CLM1689,"Wong, Taylor and Miller",2022-06-19,2023-05-23,2023-06-10,Pending,Theft,2236.12,10977.36,0.11,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1690,91,FALSE,5,,Rivera-Hendricks,2020-02-19,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1691,57,FALSE,6,,"Lopez, Brown and Mata",2020-02-13,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1692,53,FALSE,1,,Werner-Sandoval,2020-09-10,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1693,55,FALSE,5,,Tucker-Olson,2020-09-27,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1694,51,FALSE,3,,Adams-Brewer,2021-11-13,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1695,99,TRUE,6,CLM1695,Brock-Moore,2022-05-09,2022-09-13,2022-09-16,Open,Property Damage,42547.84,64143.92,0.25,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1696,87,TRUE,1,CLM1696,Hunt PLC,2022-07-19,2023-04-10,2023-04-20,Open,Property Damage,17178.27,18085.23,0.36,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1697,109,TRUE,4,CLM1697,"Sullivan, West and Lambert",2021-03-26,2021-05-15,2021-05-18,Pending,Theft,45837.84,56751.57,0.99,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1698,95,TRUE,8,CLM1698,"Bradshaw, Miranda and Parks",2020-12-14,2021-08-01,2021-08-05,Open,Theft,23935.21,47027.33,0.93,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1699,28,FALSE,7,,Silva Inc,2020-04-10,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1700,36,FALSE,4,,Francis Group,2022-11-07,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1701,85,FALSE,1,,Parks-Garcia,2021-12-01,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1702,35,FALSE,4,,Baker-Glover,2021-01-13,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1703,27,FALSE,8,,"Kelly, Bryan and Pham",2020-01-02,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1704,66,TRUE,8,CLM1704,Williams Inc,2021-10-16,2022-04-05,2022-04-22,Pending,Property Damage,21606.11,23792.39,0.51,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1705,26,TRUE,3,CLM1705,Beasley Group,2022-01-08,2022-02-07,2022-03-05,Open,Theft,30853.02,41535.81,0.57,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1706,90,TRUE,2,CLM1706,Bowers-Olson,2021-06-07,2021-07-28,2021-07-29,Closed,Liability,15313.58,24004.58,0.73,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1707,51,FALSE,9,,Edwards and Sons,2021-12-09,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1708,29,TRUE,5,CLM1708,Warner Ltd,2023-11-18,2024-04-02,2024-04-05,Closed,Property Damage,33527.05,57315.58,0.44,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1709,59,TRUE,7,CLM1709,"Brady, Perez and Clark",2023-04-01,2023-07-13,2023-08-01,Open,Fire,18028.34,35815.1,0.16,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1710,22,FALSE,8,,Williams Group,2020-04-16,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1711,52,FALSE,3,,Castro Ltd,2023-03-13,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1712,60,FALSE,2,,Russell-Mcclain,2022-11-27,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1713,37,TRUE,4,CLM1713,"Brown, Copeland and Johns",2021-01-16,2021-09-19,2021-10-19,Open,Water Damage,39842.29,55317.54,0.33,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1714,18,FALSE,2,,Castro and Sons,2022-04-10,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1715,30,FALSE,8,,"Clark, Sosa and Rivas",2022-01-26,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1716,49,TRUE,1,CLM1716,"Harrison, Adams and Lewis",2020-07-29,2021-03-03,2021-03-16,Closed,Property Damage,5448.86,14176.75,0.83,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1717,86,FALSE,8,,"Smith, Fields and Williams",2022-09-25,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1718,66,FALSE,2,,Walter Ltd,2022-05-25,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1719,41,TRUE,2,CLM1719,Moore-Thomas,2020-04-26,2020-11-15,2020-12-10,Open,Fire,11621.04,30603.74,0.55,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1720,58,FALSE,1,,"Taylor, Carney and Ashley",2020-08-15,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1721,14,FALSE,5,,Yang LLC,2021-10-11,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1722,82,FALSE,7,,Rivera Inc,2020-08-15,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1723,99,FALSE,8,,Watson LLC,2022-02-04,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1724,106,TRUE,6,CLM1724,Rivera-Washington,2022-01-25,2022-07-13,2022-07-23,Closed,Water Damage,36023.5,43925.32,0.71,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1725,52,FALSE,8,,"Fox, Miller and Gonzales",2020-01-28,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1726,29,FALSE,2,,Daniels-Arnold,2023-07-17,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1727,6,TRUE,2,CLM1727,"Jones, Robinson and Newman",2023-04-11,2024-02-15,2024-02-22,Pending,Water Damage,33703.26,37064.8,0.62,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1728,81,TRUE,1,CLM1728,"Edwards, Suarez and Thomas",2021-05-24,2021-10-25,2021-11-10,Pending,Fire,19375.28,42883.55,0.79,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1729,43,TRUE,8,CLM1729,Cruz PLC,2021-02-17,2021-12-10,2021-12-20,Open,Water Damage,13300.69,16468.22,0.45,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1730,83,FALSE,10,,Beck PLC,2021-11-07,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1731,63,TRUE,4,CLM1731,Cunningham-Bell,2023-03-17,2023-10-24,2023-10-28,Open,Theft,27396.92,38932.2,0.61,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1732,117,TRUE,7,CLM1732,"Booth, Woods and Vargas",2023-04-05,2023-12-08,2023-12-29,Closed,Liability,31403.64,46529.47,0.07,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1733,119,FALSE,5,,Manning-Conway,2021-08-22,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1734,103,TRUE,10,CLM1734,Hunt-Hall,2022-01-16,2022-09-26,2022-09-27,Pending,Fire,26977.97,34549.07,0.6,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1735,35,FALSE,1,,"Johnson, Reyes and Rowland",2023-07-20,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1736,79,FALSE,4,,Sparks-Smith,2021-09-16,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1737,4,FALSE,9,,"Jones, Rodriguez and Graham",2021-01-16,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1738,98,FALSE,3,,"Sanchez, Johnson and Romero",2023-04-02,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1739,38,FALSE,10,,Hudson Inc,2020-01-26,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1740,24,FALSE,10,,White-Adams,2022-05-24,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1741,7,FALSE,10,,Avila-Khan,2022-01-30,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1742,37,FALSE,1,,Smith-Wong,2022-05-21,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1743,115,TRUE,4,CLM1743,Pena Group,2023-08-16,2024-06-02,2024-06-17,Closed,Property Damage,6160.81,16574.37,0.24,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1744,112,FALSE,4,,"Swanson, Cooper and Lang",2023-12-20,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1745,41,FALSE,3,,"Martin, Williams and Rodgers",2022-06-26,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1746,52,TRUE,2,CLM1746,"Barrett, Hebert and Whitaker",2020-02-21,2020-04-26,2020-05-24,Open,Water Damage,29162.78,42202.25,0.18,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1747,41,TRUE,10,CLM1747,"Roberts, Johns and Webb",2022-12-14,2023-07-09,2023-07-11,Closed,Fire,26576.49,45839.33,0.51,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1748,6,TRUE,5,CLM1748,Mann PLC,2022-07-07,2023-05-20,2023-05-28,Pending,Liability,41497.28,43409.62,0.08,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1749,1,FALSE,3,,"Petersen, Lambert and Carr",2021-06-20,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1750,98,TRUE,9,CLM1750,Lane-Good,2022-12-05,2023-03-07,2023-03-15,Pending,Theft,12888.11,21081.78,0.98,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1751,7,TRUE,6,CLM1751,"Hammond, Grimes and Thomas",2021-12-09,2022-04-06,2022-04-12,Closed,Theft,43737.13,64694.03,0.82,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1752,41,FALSE,5,,Myers-Richardson,2022-12-18,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1753,28,TRUE,5,CLM1753,Allen-Scott,2020-09-03,2021-06-22,2021-06-28,Pending,Theft,6710.72,7310.02,0.07,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1754,75,FALSE,5,,Herrera LLC,2022-10-26,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1755,91,FALSE,4,,Allen-Morgan,2021-12-03,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
