policy_number,months_insured,has_claims,items_insured,claim_reference,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,broker_id
POL1030,52,FALSE,6,,2022-10-15,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1031,104,TRUE,5,CLM1031,2020-03-14,2020-04-29,2020-05-11,Closed,Liability,32360.28,21635.21,53995.49,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1032,22,FALSE,6,,2021-06-04,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1033,7,FALSE,3,,2023-10-29,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1034,50,FALSE,2,,2022-03-10,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1035,57,TRUE,6,CLM1035,2020-03-03,2020-12-03,2020-12-05,Pending,Property Damage,10070.14,7279.7,17349.84,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1036,96,TRUE,9,CLM1036,2022-03-19,2022-09-27,2022-10-18,Pending,Theft,44914.67,23347.53,68262.2,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1037,119,FALSE,1,,2020-07-04,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1038,81,TRUE,5,CLM1038,2020-01-05,2020-03-25,2020-04-23,Closed,Fire,15244.58,12440.07,27684.65,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1039,17,TRUE,6,CLM1039,2020-01-19,2020-04-04,2020-04-16,Pending,Property Damage,49744.56,12505.39,62249.95,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1040,71,FALSE,5,,2022-10-09,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1041,101,TRUE,5,CLM1041,2022-06-14,2023-03-20,2023-04-15,Open,Fire,2249.49,10031.95,12281.44,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1042,7,FALSE,1,,2020-08-12,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1043,88,TRUE,8,CLM1043,2020-07-28,2021-01-19,2021-02-15,Closed,Property Damage,22853.45,9449.2,32302.65,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1044,109,TRUE,9,CLM1044,2023-10-01,2023-12-10,2024-01-01,Closed,Water Damage,2351.4,2046.7,4398.1,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1045,45,TRUE,2,CLM1045,2023-08-30,2023-10-22,2023-11-06,Closed,Fire,14611.07,19261.22,33872.29,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1046,58,FALSE,9,,2021-05-14,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1047,36,FALSE,4,,2023-12-09,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1048,73,FALSE,4,,2023-03-31,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1049,95,TRUE,3,CLM1049,2022-10-09,2023-01-10,2023-01-25,Pending,Water Damage,4945.08,8601.94,13547.02,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1050,71,FALSE,8,,2021-02-17,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1051,2,FALSE,5,,2023-09-11,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1052,59,TRUE,7,CLM1052,2022-09-27,2023-06-04,2023-06-22,Closed,Fire,19593.8,13521.26,33115.06,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1053,37,TRUE,10,CLM1053,2023-08-04,2024-02-26,2024-03-05,Open,Theft,23841.96,16531.13,40373.09,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1054,78,FALSE,8,,2020-01-02,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1055,113,FALSE,1,,2020-11-27,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1056,69,FALSE,7,,2022-01-17,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1057,57,TRUE,5,CLM1057,2021-07-26,2022-04-16,2022-05-13,Closed,Fire,16753.91,16458.63,33212.54,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1058,67,FALSE,1,,2023-02-22,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1059,105,FALSE,8,,2020-11-02,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1060,82,FALSE,8,,2023-10-31,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1061,116,FALSE,4,,2020-07-19,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1062,21,FALSE,1,,2023-11-18,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1063,29,TRUE,3,CLM1063,2020-05-24,2021-03-02,2021-03-25,Pending,Liability,17251.34,20674.78,37926.12,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1064,20,FALSE,3,,2022-08-08,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1065,70,FALSE,1,,2022-07-18,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1066,65,FALSE,3,,2021-03-05,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1067,31,TRUE,10,CLM1067,2022-05-27,2022-10-16,2022-11-14,Closed,Fire,35861.84,3691.77,39553.61,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1068,78,FALSE,4,,2023-07-30,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1069,47,FALSE,10,,2020-03-30,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1070,71,FALSE,7,,2020-12-29,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1071,6,TRUE,2,CLM1071,2023-02-12,2023-11-03,2023-11-21,Closed,Water Damage,38351.4,12859.4,51210.8,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1072,110,TRUE,10,CLM1072,2020-09-02,2021-07-05,2021-07-29,Pending,Property Damage,20623.89,10274,30897.89,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1073,36,FALSE,9,,2021-08-04,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1074,33,FALSE,2,,2022-05-13,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1075,5,TRUE,1,CLM1075,2020-06-12,2020-08-02,2020-08-14,Pending,Theft,17183.19,8609.95,25793.14,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1076,96,FALSE,10,,2023-03-29,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1077,111,FALSE,10,,2022-02-14,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1078,35,TRUE,6,CLM1078,2020-04-06,2020-09-02,2020-09-10,Closed,Fire,43026.73,6589.59,49616.32,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1079,22,FALSE,1,,2021-03-08,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1080,14,TRUE,2,CLM1080,2020-10-10,2021-06-11,2021-06-20,Closed,Fire,44259.14,3755.94,48015.08,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1081,3,TRUE,8,CLM1081,2023-07-25,2024-03-10,2024-03-16,Closed,Water Damage,20782.16,3373.69,24155.85,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1082,35,FALSE,9,,2022-11-03,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1083,59,TRUE,9,CLM1083,2020-03-02,2020-06-21,2020-06-24,Pending,Property Damage,22215.44,21640.44,43855.88,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1084,98,FALSE,7,,2023-10-06,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1085,40,TRUE,3,CLM1085,2020-02-13,2020-09-14,2020-10-02,Pending,Property Damage,36092.97,16354.38,52447.35,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1086,27,TRUE,10,CLM1086,2022-08-19,2022-10-11,2022-10-22,Open,Liability,27896.92,16852.62,44749.54,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1087,89,TRUE,10,CLM1087,2022-10-07,2023-07-08,2023-08-04,Closed,Water Damage,17664.21,15757.1,33421.31,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1088,71,FALSE,10,,2023-08-10,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1089,1,TRUE,10,CLM1089,2022-07-12,2023-03-10,2023-03-29,Open,Liability,1153.73,1531.52,2685.25,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1090,120,TRUE,4,CLM1090,2020-01-23,2020-10-07,2020-11-05,Open,Fire,25400.74,12320.23,37720.97,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1091,56,TRUE,1,CLM1091,2023-08-21,2024-02-24,2024-03-18,Open,Property Damage,11954.26,10287.91,22242.17,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1092,92,TRUE,6,CLM1092,2023-08-13,2024-01-16,2024-02-08,Pending,Liability,33354.48,12530.35,45884.83,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1093,94,FALSE,2,,2021-01-27,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1094,93,FALSE,4,,2023-03-21,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1095,40,FALSE,8,,2020-10-06,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1096,101,FALSE,4,,2022-07-27,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1097,74,FALSE,5,,2023-11-14,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1098,45,TRUE,4,CLM1098,2021-10-02,2022-03-31,2022-04-22,Open,Fire,7703.37,8474.79,16178.16,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1099,113,FALSE,2,,2020-06-25,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1100,54,TRUE,8,CLM1100,2020-03-24,2020-05-11,2020-06-04,Pending,Property Damage,22624.37,4489.11,27113.48,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1101,32,TRUE,9,CLM1101,2022-04-21,2022-10-24,2022-10-29,Closed,Liability,6342.01,10642.29,16984.3,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1102,25,FALSE,8,,2020-08-25,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1103,79,TRUE,3,CLM1103,2022-03-18,2023-01-10,2023-01-19,Closed,Property Damage,29766.18,21166.3,50932.48,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1104,11,TRUE,9,CLM1104,2020-02-23,2020-10-16,2020-11-09,Closed,Water Damage,15250.45,21368.99,36619.44,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1105,91,FALSE,3,,2021-06-20,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1106,92,TRUE,10,CLM1106,2020-05-17,2020-06-27,2020-07-20,Pending,Water Damage,19498.43,11417.93,30916.36,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1107,56,TRUE,9,CLM1107,2023-07-23,2023-11-10,2023-11-17,Closed,Property Damage,12337.56,22674,35011.56,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1108,67,FALSE,7,,2020-10-04,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1109,34,FALSE,3,,2022-01-17,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1110,16,FALSE,10,,2020-05-06,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1111,58,FALSE,6,,2020-05-09,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1112,16,TRUE,4,CLM1112,2021-06-11,2021-08-03,2021-08-18,Closed,Liability,45428.01,14604.99,60033,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1113,24,TRUE,6,CLM1113,2023-08-11,2024-03-12,2024-03-20,Open,Theft,11937.78,6600.82,18538.6,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1114,102,TRUE,8,CLM1114,2020-11-21,2021-03-19,2021-04-02,Open,Liability,36043.78,5548.35,41592.13,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1115,40,TRUE,10,CLM1115,2021-04-29,2022-03-08,2022-03-31,Open,Water Damage,39189.47,2236.64,41426.11,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1116,47,FALSE,10,,2021-02-24,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1117,19,TRUE,7,CLM1117,2022-09-20,2022-12-26,2023-01-04,Pending,Property Damage,7139.29,5404.45,12543.74,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1118,102,TRUE,9,CLM1118,2023-09-30,2024-07-08,2024-07-30,Closed,Liability,34480.35,17585.93,52066.28,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1119,95,FALSE,5,,2023-09-28,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1120,34,TRUE,10,CLM1120,2021-08-04,2022-03-15,2022-03-21,Pending,Liability,18031.3,9471.09,27502.39,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1121,67,TRUE,5,CLM1121,2023-10-12,2024-03-24,2024-04-03,Pending,Liability,22130.89,3669.11,25800,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1122,42,TRUE,2,CLM1122,2023-12-20,2024-10-20,2024-10-28,Pending,Water Damage,3615.08,22284.32,25899.4,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1123,104,FALSE,7,,2023-12-05,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1124,17,TRUE,10,CLM1124,2020-01-18,2020-08-23,2020-09-04,Closed,Water Damage,33464.15,1946.32,35410.47,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1125,51,FALSE,3,,2021-08-28,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1126,20,TRUE,6,CLM1126,2020-03-25,2021-03-24,2021-04-04,Pending,Liability,6812.89,9983.85,16796.74,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1127,61,TRUE,3,CLM1127,2022-07-31,2023-02-16,2023-03-11,Closed,Liability,2556.77,20526.43,23083.2,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1128,115,TRUE,8,CLM1128,2021-12-08,2022-03-16,2022-03-30,Pending,Fire,48242.41,18859,67101.41,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1129,18,FALSE,6,,2022-03-15,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1130,57,TRUE,9,CLM1130,2023-01-14,2023-07-05,2023-07-18,Closed,Liability,30703.58,2280.05,32983.63,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1131,47,TRUE,5,CLM1131,2020-10-06,2021-01-25,2021-02-10,Open,Fire,44045.27,14013.34,58058.61,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1132,18,TRUE,1,CLM1132,2020-01-01,2020-07-24,2020-08-11,Closed,Fire,32033.7,8569.53,40603.23,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1133,26,TRUE,7,CLM1133,2023-11-19,2024-09-28,2024-10-01,Closed,Fire,47666.51,9608.02,57274.53,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1134,72,FALSE,9,,2021-05-14,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1135,110,FALSE,8,,2020-03-14,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1136,108,TRUE,5,CLM1136,2020-08-07,2021-03-17,2021-04-07,Closed,Water Damage,9093.17,15652.82,24745.99,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1137,34,FALSE,6,,2021-01-24,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1138,33,FALSE,2,,2021-08-11,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1139,12,TRUE,6,CLM1139,2022-09-10,2023-07-11,2023-07-27,Pending,Liability,25661.36,16643.73,42305.09,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1140,113,TRUE,2,CLM1140,2023-06-17,2024-04-19,2024-04-22,Closed,Water Damage,20961.2,9572.62,30533.82,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1141,111,FALSE,2,,2023-08-12,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1142,71,FALSE,10,,2020-10-14,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1143,16,TRUE,5,CLM1143,2022-07-26,2023-06-30,2023-07-09,Closed,Property Damage,40290.53,13163.06,53453.59,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1144,68,FALSE,6,,2022-08-08,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1145,96,TRUE,7,CLM1145,2020-05-25,2020-11-23,2020-12-15,Closed,Theft,40816.87,15973.2,56790.07,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1146,58,TRUE,4,CLM1146,2020-11-22,2021-03-26,2021-04-20,Pending,Property Damage,3874.74,24543.45,28418.19,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1147,74,TRUE,1,CLM1147,2023-04-05,2024-01-08,2024-01-28,Open,Liability,17636.98,21141.23,38778.21,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1148,47,FALSE,3,,2022-03-07,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1149,120,TRUE,2,CLM1149,2022-05-18,2023-03-01,2023-03-30,Closed,Liability,24923.92,15390.58,40314.5,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1150,43,TRUE,10,CLM1150,2021-07-12,2021-10-06,2021-10-27,Open,Water Damage,42186.19,17588.72,59774.91,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1151,13,FALSE,8,,2022-05-05,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1152,34,FALSE,8,,2023-09-12,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1153,92,TRUE,9,CLM1153,2023-04-08,2023-11-18,2023-12-02,Pending,Water Damage,12332.55,14789.23,27121.78,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1154,104,FALSE,1,,2020-03-31,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1155,107,TRUE,1,CLM1155,2020-04-12,2020-07-22,2020-07-27,Open,Water Damage,4003.1,5302.56,9305.66,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1156,16,FALSE,3,,2020-03-04,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1157,101,FALSE,5,,2023-05-19,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1158,118,FALSE,6,,2020-06-24,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1159,56,TRUE,2,CLM1159,2021-12-07,2022-07-07,2022-07-16,Pending,Liability,28611.64,12554.32,41165.96,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1160,79,FALSE,3,,2021-08-04,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1161,73,FALSE,8,,2020-11-13,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1162,39,FALSE,2,,2022-06-17,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1163,101,FALSE,6,,2020-11-09,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1164,108,FALSE,7,,2021-12-06,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1165,24,TRUE,3,CLM1165,2023-04-14,2024-01-25,2024-02-24,Pending,Water Damage,2341.74,22651.07,24992.81,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1166,66,FALSE,3,,2020-02-07,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1167,46,FALSE,3,,2022-01-29,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1168,89,TRUE,7,CLM1168,2022-12-03,2023-06-22,2023-07-14,Closed,Property Damage,32616.45,1111.05,33727.5,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1169,90,TRUE,1,CLM1169,2021-08-08,2021-12-25,2022-01-11,Closed,Water Damage,19050.78,10302.68,29353.46,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1170,88,FALSE,8,,2022-08-15,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1171,53,FALSE,2,,2022-09-17,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1172,105,FALSE,10,,2021-05-22,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1173,89,FALSE,1,,2022-01-16,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1174,102,TRUE,8,CLM1174,2023-11-08,2024-07-09,2024-07-12,Open,Water Damage,30383.5,23111.31,53494.81,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1175,98,TRUE,10,CLM1175,2022-05-31,2023-04-07,2023-04-18,Open,Theft,8712.39,22072.2,30784.59,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1176,84,FALSE,10,,2023-08-29,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1177,62,TRUE,8,CLM1177,2023-08-08,2023-11-28,2023-12-26,Closed,Fire,11371.21,784.5,12155.71,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
