policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,claim_propensity,broker_id
POL1813,50,TRUE,5,CLM1813,"Valdez, Johnson and Hall",2021-03-22,2021-03-30,Closed,Property Damage,11172.95,2517.43,13690.38,0.77,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1814,101,FALSE,6,,George Group,,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1815,105,FALSE,3,,Clay PLC,,,,,0,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1816,56,FALSE,4,,Fox and Sons,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1817,103,FALSE,10,,Davis-Middleton,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1818,30,TRUE,4,CLM1818,Palmer PLC,2023-12-18,2023-12-24,Pending,Property Damage,33575.78,17229.22,50805,0.91,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1819,88,FALSE,3,,Pierce PLC,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1820,59,FALSE,7,,"Oliver, Burke and Hancock",,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1821,60,FALSE,6,,Chambers-Ruiz,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1822,1,FALSE,7,,"Morrison, Johnson and Reed",,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1823,93,TRUE,9,CLM1823,Park Inc,2023-09-24,2023-09-30,Pending,Property Damage,25090.4,12288.76,37379.16,0.11,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1824,95,FALSE,7,,Alexander PLC,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1825,111,TRUE,7,CLM1825,"Lewis, Smith and Young",2022-09-22,2022-10-21,Open,Property Damage,38147.01,14462.93,52609.94,0.65,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1826,48,TRUE,1,CLM1826,Davis-Hill,2021-09-11,2021-10-08,Pending,Property Damage,42253.14,18517.51,60770.65,0.55,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1827,105,TRUE,9,CLM1827,"Roberts, Murphy and Le",2021-07-03,2021-07-21,Open,Water Damage,17684.92,10800.69,28485.61,0.64,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1828,81,FALSE,4,,"Merritt, Evans and Lambert",,,,,0,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1829,20,TRUE,10,CLM1829,"Martinez, Crawford and Salazar",2023-08-15,2023-09-02,Closed,Theft,47511.83,12767.7,60279.53,0.58,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1830,78,TRUE,10,CLM1830,"Davis, Callahan and Ortiz",2022-11-04,2022-11-09,Open,Liability,32504.95,15254.37,47759.32,0.94,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1831,7,TRUE,4,CLM1831,Vincent Group,2021-10-12,2021-11-04,Closed,Theft,38830.79,5150.15,43980.94,0.18,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1832,97,FALSE,8,,Thomas-Richard,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1833,101,TRUE,2,CLM1833,Stevenson-Thomas,2021-06-10,2021-06-29,Pending,Property Damage,25966.23,3755.56,29721.79,0.45,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1834,23,TRUE,2,CLM1834,"Morris, Vega and Jones",2020-09-08,2020-09-10,Closed,Water Damage,44010.22,16667.28,60677.5,0.99,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1835,92,FALSE,2,,Gonzalez LLC,,,,,0,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1836,71,TRUE,3,CLM1836,"Terry, Curtis and Rojas",2023-03-15,2023-03-21,Open,Property Damage,11757.22,7743.48,19500.7,0.23,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1837,9,FALSE,7,,Johnson-Alexander,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1838,30,TRUE,10,CLM1838,Soto-Moore,2022-11-25,2022-12-24,Open,Property Damage,17884.61,2912.87,20797.48,0.25,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1839,33,TRUE,6,CLM1839,Greer Group,2024-06-29,2024-07-02,Closed,Theft,46122.22,2288.62,48410.84,0.96,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1840,99,FALSE,10,,Moore-Hernandez,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1841,14,TRUE,8,CLM1841,"Jordan, Figueroa and Wilson",2020-08-29,2020-09-26,Closed,Fire,45220.66,24907.19,70127.85,0.99,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1842,10,TRUE,4,CLM1842,Taylor PLC,2022-09-24,2022-10-23,Closed,Fire,43444.93,1698.65,45143.58,0.26,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1843,114,FALSE,6,,Giles-Combs,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1844,100,TRUE,10,CLM1844,Brady-Berry,2021-04-22,2021-05-11,Closed,Liability,35921.03,11190.27,47111.3,0.97,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1845,103,TRUE,6,CLM1845,"Richardson, Mcintosh and Garcia",2024-03-10,2024-03-24,Closed,Property Damage,6477.14,1247.97,7725.11,0.19,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1846,62,TRUE,7,CLM1846,Meyer Inc,2023-04-16,2023-04-28,Pending,Property Damage,42068.98,8920,50988.98,0.56,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1847,42,TRUE,5,CLM1847,"Sutton, Lawrence and Owens",2021-12-27,2022-01-12,Pending,Theft,1615,13049.57,14664.57,0.34,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1848,62,TRUE,8,CLM1848,Mclaughlin-Scott,2020-11-12,2020-12-01,Open,Fire,46691.34,2051.59,48742.93,0.87,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1849,94,TRUE,8,CLM1849,"Mcguire, Martin and Garrett",2022-08-07,2022-08-15,Closed,Liability,48031.15,10532.4,58563.55,0.32,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1850,55,TRUE,7,CLM1850,"Carson, Vaughan and Chan",2023-11-08,2023-11-16,Pending,Theft,1983.1,2446.25,4429.35,0.8,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1851,87,FALSE,6,,Blevins Ltd,,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1852,21,FALSE,8,,"Sanchez, Perez and Mann",,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1853,2,TRUE,10,CLM1853,"Wang, Thomas and Walsh",2020-08-17,2020-09-05,Pending,Property Damage,16472.9,20567.78,37040.68,0.84,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1854,11,FALSE,4,,Charles PLC,,,,,0,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1855,73,TRUE,6,CLM1855,"Thompson, Garcia and Davis",2023-12-20,2023-12-21,Open,Theft,9432.63,17993.34,27425.97,0.1,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1856,48,TRUE,4,CLM1856,"Mcdonald, Deleon and Lane",2024-03-01,2024-03-31,Closed,Fire,38601.9,1926.41,40528.31,0.52,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1857,15,FALSE,9,,Erickson and Sons,,,,,0,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1858,115,TRUE,7,CLM1858,Brown-Cook,2021-10-18,2021-10-19,Closed,Theft,14435.8,22936.55,37372.35,0.33,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1859,14,FALSE,1,,"Russell, Whitehead and Terrell",,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1860,56,FALSE,1,,"Allen, Parsons and Watkins",,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1861,25,FALSE,9,,Wright PLC,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1862,50,FALSE,8,,Chavez Inc,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1863,119,FALSE,8,,Fisher-Stone,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1864,98,FALSE,6,,Page Ltd,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1865,109,FALSE,6,,"Rios, Mcneil and Bradshaw",,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1866,94,FALSE,1,,Davis-Banks,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1867,22,FALSE,7,,Young-Holland,,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1868,38,FALSE,6,,Miller-Thomas,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1869,67,TRUE,9,CLM1869,Hughes Ltd,2021-08-07,2021-08-22,Closed,Theft,49954.09,1384.4,51338.49,0.78,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1870,57,FALSE,8,,Williams-Frank,,,,,0,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1871,42,FALSE,7,,Dixon-Ingram,,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1872,37,FALSE,8,,Carr-Carroll,,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1873,45,TRUE,9,CLM1873,"Lee, Monroe and Adams",2021-12-11,2021-12-19,Open,Fire,21658.58,15864.65,37523.23,0.01,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1874,94,FALSE,10,,Zimmerman-Gonzalez,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1875,36,FALSE,7,,Baker-Powell,,,,,0,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1876,94,TRUE,10,CLM1876,"Jimenez, Sampson and Jackson",2021-04-10,2021-04-24,Pending,Property Damage,13059.75,6559.09,19618.84,0.91,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1877,49,TRUE,4,CLM1877,Clark LLC,2023-04-15,2023-05-07,Open,Liability,2128.19,6043.68,8171.87,0.46,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1878,57,TRUE,4,CLM1878,"Mann, Olsen and Sandoval",2023-10-20,2023-11-13,Closed,Property Damage,22479.03,5251.62,27730.65,0.09,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1879,59,TRUE,9,CLM1879,Collins-Howell,2021-06-19,2021-07-13,Open,Liability,2277.6,10589.54,12867.14,0.27,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1880,39,TRUE,10,CLM1880,Rivera and Sons,2022-12-08,2022-12-30,Pending,Water Damage,23406.89,14154.75,37561.64,0.02,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1881,106,TRUE,4,CLM1881,"Martinez, Howard and Le",2023-01-05,2023-01-16,Open,Theft,46692.47,9472,56164.47,0.94,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1882,6,FALSE,4,,Alexander-Mcdaniel,,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1883,118,FALSE,7,,Patterson-Graham,,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1884,2,TRUE,9,CLM1884,Silva-Downs,2022-11-04,2022-11-30,Open,Property Damage,32758.78,4947.84,37706.62,0.74,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1885,59,FALSE,6,,"Owen, Anderson and Smith",,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1886,71,FALSE,9,,"Trevino, Hughes and Castillo",,,,,0,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1887,68,FALSE,4,,Walsh-Davis,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1888,78,FALSE,8,,Leonard LLC,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1889,44,TRUE,8,CLM1889,"Jackson, Ramirez and Martinez",2022-09-16,2022-09-23,Open,Liability,25532.82,21412.35,46945.17,0.24,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1890,86,TRUE,1,CLM1890,"Byrd, Smith and Thomas",2021-07-25,2021-08-08,Pending,Fire,31785.32,22371.62,54156.94,0.57,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1891,35,TRUE,3,CLM1891,Morgan LLC,2022-09-22,2022-10-22,Open,Water Damage,14053.5,1906,15959.5,0.92,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1892,48,TRUE,9,CLM1892,Bradford-Sanchez,2022-07-06,2022-08-03,Pending,Water Damage,26236.04,11545.52,37781.56,0.53,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1893,12,TRUE,5,CLM1893,"Duncan, Green and Jackson",2021-09-14,2021-09-22,Open,Fire,20977.44,18266.09,39243.53,0.89,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1894,13,TRUE,10,CLM1894,Ross-Garcia,2024-06-26,2024-07-09,Pending,Fire,5036.05,15696.89,20732.94,0.04,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1895,17,TRUE,6,CLM1895,Rivera and Sons,2022-03-28,2022-04-22,Pending,Fire,16742.68,15432.57,32175.25,0.4,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1896,109,FALSE,1,,Gardner-Mason,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1897,16,TRUE,9,CLM1897,Oneal-Garcia,2023-04-15,2023-04-17,Pending,Theft,3499.25,21719.91,25219.16,0.27,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1898,16,TRUE,1,CLM1898,"Roberts, Brown and Mccall",2023-08-21,2023-09-11,Pending,Water Damage,11085.94,2762.59,13848.53,0.52,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1899,99,TRUE,1,CLM1899,Sutton Group,2022-04-28,2022-04-29,Closed,Property Damage,48234.57,4092.68,52327.25,0.79,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1900,119,FALSE,2,,Martin LLC,,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1901,67,FALSE,10,,"Jackson, Bush and Duncan",,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1902,60,FALSE,5,,"Gray, Yu and Garcia",,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1903,114,FALSE,7,,Mccoy Group,,,,,0,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1904,31,FALSE,10,,Scott Group,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1905,46,FALSE,9,,Ford PLC,,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1906,7,FALSE,1,,"Castro, Richardson and Coleman",,,,,0,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1907,45,FALSE,9,,Chapman PLC,,,,,0,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1908,107,FALSE,7,,Campbell PLC,,,,,0,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1909,96,FALSE,10,,Kennedy-Farrell,,,,,0,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1910,20,FALSE,6,,"Mcdonald, Garner and Mckee",,,,,0,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1911,73,FALSE,9,,Nelson-Martin,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1912,13,TRUE,10,CLM1912,Mccullough LLC,2023-02-12,2023-02-22,Pending,Fire,39410.77,10831.94,50242.71,0.43,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1913,63,TRUE,3,CLM1913,"Johnson, Wells and Kramer",2024-07-21,2024-08-20,Pending,Theft,23980.65,4361.88,28342.53,0.41,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1914,56,FALSE,9,,"Mitchell, Wright and Hendrix",,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1915,47,TRUE,1,CLM1915,Daniel-Cardenas,2020-12-02,2020-12-23,Pending,Property Damage,16061.38,18799.27,34860.65,0.02,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1916,42,FALSE,4,,Gonzalez Group,,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1917,36,TRUE,6,CLM1917,"Guzman, Arnold and Johnson",2020-10-08,2020-10-10,Pending,Property Damage,3807.15,516.31,4323.46,0.18,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1918,49,TRUE,1,CLM1918,Mcclain-Conner,2020-11-28,2020-12-25,Closed,Theft,20745.57,13325.32,34070.89,0.44,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1919,32,FALSE,4,,Richardson-Gonzalez,,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1920,116,TRUE,10,CLM1920,Jones and Sons,2023-09-20,2023-09-23,Closed,Property Damage,35762.84,4781.66,40544.5,0.87,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1921,111,TRUE,7,CLM1921,"Miller, Stone and Powers",2022-09-10,2022-09-13,Pending,Liability,19515.94,24698.18,44214.12,0.3,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1922,107,FALSE,6,,"Sullivan, Ramirez and Miller",,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1923,8,FALSE,6,,Stephens Ltd,,,,,0,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1924,23,TRUE,8,CLM1924,"Cooper, Melendez and Gonzalez",2023-04-12,2023-04-17,Open,Theft,30606.37,11542.3,42148.67,0.07,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1925,82,TRUE,5,CLM1925,Decker-Camacho,2024-09-30,2024-10-02,Open,Liability,3761.22,22602.81,26364.03,0.87,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1926,96,TRUE,3,CLM1926,Cole-Palmer,2023-06-10,2023-06-18,Open,Water Damage,29481.8,3801.19,33282.99,0.76,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1927,39,TRUE,1,CLM1927,Brown-Williams,2024-04-05,2024-04-20,Pending,Liability,36334.44,24410.97,60745.41,0.76,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1928,18,FALSE,10,,Gray-Gutierrez,,,,,0,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1929,54,TRUE,6,CLM1929,"Dominguez, Bowman and Hall",2024-06-10,2024-06-12,Pending,Fire,35334.32,19612.99,54947.31,0.5,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1930,57,TRUE,8,CLM1930,Bonilla-Spencer,2021-03-05,2021-03-18,Pending,Theft,25326.87,21555.05,46881.92,0.51,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1931,35,TRUE,7,CLM1931,"Graham, Roberts and Washington",2024-07-08,2024-07-29,Pending,Liability,9990.21,3896.4,13886.61,0.9,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1932,81,TRUE,6,CLM1932,Craig-Reynolds,2020-08-15,2020-09-12,Open,Property Damage,1414.53,11283.35,12697.88,0.5,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1933,40,FALSE,2,,Klein-Dickson,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1934,46,TRUE,5,CLM1934,"Bowen, Turner and Kelley",2022-01-17,2022-01-24,Closed,Water Damage,34224.91,24847.94,59072.85,0.25,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1935,112,TRUE,4,CLM1935,Barnes-Mcintyre,2024-01-17,2024-01-19,Open,Fire,26005.99,7985.63,33991.62,0.09,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1936,33,TRUE,5,CLM1936,"Barton, Reed and Coleman",2021-02-21,2021-03-21,Closed,Property Damage,21692.49,21104.73,42797.22,0.38,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1937,57,TRUE,6,CLM1937,Collins-Maldonado,2021-09-19,2021-10-12,Closed,Theft,11187.34,19609.53,30796.87,0.87,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1938,86,TRUE,8,CLM1938,Hall-Johnson,2023-10-05,2023-10-16,Closed,Liability,3375.86,14852.54,18228.4,0.34,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1939,26,FALSE,5,,Moore-Underwood,,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1940,14,FALSE,9,,Wiley-Parsons,,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1941,69,FALSE,4,,Hahn Inc,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1942,26,TRUE,2,CLM1942,Banks and Sons,2023-12-21,2024-01-19,Pending,Fire,33312.83,20592.14,53904.97,0.36,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1943,20,FALSE,1,,Pena Ltd,,,,,0,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1944,86,FALSE,3,,Leonard-White,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1945,85,FALSE,4,,Alexander-Rubio,,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1946,28,FALSE,8,,Moore and Sons,,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1947,62,TRUE,9,CLM1947,Guerrero Group,2021-07-23,2021-08-03,Pending,Theft,40847.67,11916.74,52764.41,0.63,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1948,92,FALSE,4,,"Campbell, Yates and Turner",,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1949,19,FALSE,6,,Willis LLC,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1950,103,TRUE,10,CLM1950,Wolf-Jones,2020-05-31,2020-06-07,Closed,Liability,36585.58,922.99,37508.57,0.14,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1951,61,FALSE,10,,"Dawson, Carter and Conrad",,,,,0,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1952,53,FALSE,3,,Schultz-Kelley,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1953,86,FALSE,7,,Gray Inc,,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1954,1,FALSE,6,,Williams-Norton,,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1955,103,TRUE,3,CLM1955,Wood LLC,2023-02-03,2023-02-13,Open,Property Damage,6791.75,17445.9,24237.65,0.04,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1956,63,FALSE,10,,Brown-Johnson,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1957,112,FALSE,7,,Moore PLC,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1958,43,TRUE,3,CLM1958,Harrison Inc,2022-11-10,2022-11-26,Closed,Property Damage,15490.8,18023.02,33513.82,0.69,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1959,120,TRUE,3,CLM1959,"Taylor, Meza and Castro",2022-06-19,2022-07-04,Pending,Liability,16820.89,23360.19,40181.08,0.74,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1960,4,FALSE,6,,Jones Inc,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1961,16,FALSE,5,,"Waters, Wilson and Hoover",,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1962,8,TRUE,2,CLM1962,Reynolds-Wilson,2021-06-09,2021-06-20,Closed,Property Damage,39764.89,17834.5,57599.39,0.34,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
